tf,ticker,entry,exit,pnl,status,rules,regime,sample
H4,SBER,2023-09-18 05:00:00,2023-09-18 09:00:00,-7064.62,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,volatile,IS
H4,SBER,2023-12-28 13:00:00,2024-01-04 05:00:00,11205.74,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,IS
H4,SBER,2025-04-09 17:00:00,2025-04-10 13:00:00,-10763.09,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,SBER,2025-05-18 05:00:00,2025-05-19 01:00:00,-3774.88,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,SBER,2025-08-01 01:00:00,2025-08-05 05:00:00,-1518.98,LOSS,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,SBER,2025-09-17 13:00:00,2025-09-18 05:00:00,-3475.07,LOSS,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,SBER,2025-11-19 09:00:00,2025-11-19 17:00:00,3069.59,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,SBER,2026-03-05 09:00:00,2026-03-06 05:00:00,2239.75,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,trending,OOS
H4,SBER,2026-03-09 01:00:00,2026-03-09 13:00:00,-2384.0,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,GAZP,2023-10-31 13:00:00,2023-11-02 05:00:00,11047.73,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,GAZP,2023-12-11 09:00:00,2023-12-12 05:00:00,-12667.97,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,volatile,IS
H4,GAZP,2024-01-31 09:00:00,2024-02-01 09:00:00,1931.86,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,trending,IS
H4,GAZP,2024-02-02 09:00:00,2024-02-02 17:00:00,-14439.05,STOPPED,osc_bull_div_mac_break+osc_micro_w_entry,volatile,IS
H4,GAZP,2024-04-27 13:00:00,2024-05-02 09:00:00,-17034.38,STOPPED,osc_bull_div_mac_break+osc_micro_w_entry,ranging,IS
H4,GAZP,2025-03-04 13:00:00,2025-03-05 01:00:00,-16502.97,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
H4,GAZP,2025-04-01 01:00:00,2025-04-01 09:00:00,-41150.64,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,GAZP,2025-04-10 09:00:00,2025-04-10 13:00:00,-15909.9,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,GAZP,2025-08-18 17:00:00,2025-08-20 09:00:00,-20105.03,STOPPED,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,ranging,OOS
H4,GAZP,2025-11-18 05:00:00,2025-11-18 17:00:00,-9176.59,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,volatile,OOS
H4,GAZP,2025-12-26 17:00:00,2025-12-27 13:00:00,1637.79,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,GAZP,2026-04-20 01:00:00,2026-04-24 09:00:00,-13844.02,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,ranging,OOS
H4,LKOH,2024-03-22 05:00:00,2024-03-22 09:00:00,-26954.27,STOPPED,osc_bull_div_mac_break+osc_micro_w_entry,ranging,IS
H4,LKOH,2024-03-25 09:00:00,2024-03-28 09:00:00,6650.22,WIN,osc_micro_w_entry+osc_stoch_bull_cross,volatile,IS
H4,LKOH,2025-04-09 17:00:00,2025-04-10 09:00:00,-15363.29,LOSS,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,LKOH,2025-08-30 05:00:00,2025-09-01 13:00:00,-9299.22,STOPPED,osc_bull_div_mac_break+osc_stoch_bull_cross,trending,OOS
H4,NVTK,2023-11-10 13:00:00,2023-11-14 09:00:00,-21292.12,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,NVTK,2025-05-07 09:00:00,2025-05-07 17:00:00,47.06,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,NVTK,2025-06-13 01:00:00,2025-06-13 05:00:00,-4808.81,LOSS,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,NVTK,2025-08-04 09:00:00,2025-08-05 05:00:00,12690.12,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,NVTK,2025-09-16 01:00:00,2025-09-17 09:00:00,-131.86,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,NVTK,2025-12-26 05:00:00,2025-12-27 13:00:00,15082.59,WIN,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,NVTK,2026-02-20 05:00:00,2026-02-21 13:00:00,4906.56,WIN,osc_bull_div_mac_break+osc_micro_w_entry,volatile,OOS
H4,NVTK,2026-04-03 17:00:00,2026-04-06 05:00:00,2153.26,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,NVTK,2026-05-05 09:00:00,2026-05-06 05:00:00,-1516.4,LOSS,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,ROSN,2023-09-15 13:00:00,2023-09-18 09:00:00,55.56,WIN,osc_bull_div_mac_break+osc_micro_w_entry,volatile,IS
H4,ROSN,2023-12-15 13:00:00,2023-12-18 13:00:00,9603.95,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,IS
H4,ROSN,2024-02-01 05:00:00,2024-02-05 13:00:00,18820.7,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,IS
H4,ROSN,2025-02-06 13:00:00,2025-02-07 09:00:00,3188.23,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,ROSN,2025-02-17 05:00:00,2025-02-24 09:00:00,-23148.06,STOPPED,osc_bull_div_mac_break+osc_stoch_bull_cross,trending,OOS
H4,ROSN,2025-03-10 09:00:00,2025-03-13 09:00:00,-21558.08,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,ROSN,2025-03-16 05:00:00,2025-03-17 09:00:00,10777.25,WIN,osc_bull_div_mac_break+osc_micro_w_entry,volatile,OOS
H4,ROSN,2025-09-17 17:00:00,2025-09-19 05:00:00,-18913.27,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,ROSN,2026-02-20 09:00:00,2026-02-20 13:00:00,-5074.73,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,volatile,OOS
H4,ROSN,2026-05-18 13:00:00,2026-05-20 05:00:00,-18654.75,STOPPED,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,OOS
H4,ROSN,2026-05-30 13:00:00,2026-06-02 05:00:00,808.98,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,TATN,2023-10-19 17:00:00,2023-10-24 05:00:00,-13401.67,LOSS,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,IS
H4,TATN,2023-12-08 17:00:00,2023-12-11 09:00:00,-8332.55,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,IS
H4,TATN,2024-03-26 09:00:00,2024-04-02 05:00:00,22025.45,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,TATN,2024-04-23 05:00:00,2024-05-06 05:00:00,-15029.1,LOSS,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,IS
H4,TATN,2025-03-04 05:00:00,2025-03-06 05:00:00,-31293.91,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,volatile,OOS
H4,TATN,2025-06-13 01:00:00,2025-06-15 05:00:00,34158.03,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,TATN,2025-08-04 01:00:00,2025-08-04 09:00:00,-1050.02,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,TATN,2026-04-09 01:00:00,2026-04-10 09:00:00,-28714.91,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,TATN,2026-06-03 09:00:00,2026-06-03 13:00:00,-11260.07,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
H4,TATN,2026-06-19 05:00:00,2026-06-22 09:00:00,-35157.48,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,MGNT,2023-09-14 13:00:00,2023-09-18 05:00:00,-6110.64,LOSS,osc_bull_div_mac_break+osc_stoch_bull_cross,trending,IS
H4,MGNT,2025-04-08 09:00:00,2025-04-09 05:00:00,-33904.46,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
H4,MGNT,2025-04-10 09:00:00,2025-04-10 13:00:00,-1273.12,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
H4,MGNT,2026-04-01 05:00:00,2026-04-02 09:00:00,-15292.74,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,MOEX,2023-09-12 05:00:00,2023-09-13 13:00:00,-4706.42,LOSS,osc_bull_div_mac_break+osc_stoch_bull_cross,volatile,IS
H4,MOEX,2024-02-26 05:00:00,2024-02-27 17:00:00,21680.23,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,MOEX,2024-05-29 05:00:00,2024-05-30 09:00:00,16040.5,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,IS
H4,MOEX,2025-04-02 09:00:00,2025-04-03 09:00:00,-16525.65,STOPPED,osc_bull_div_mac_break+osc_stoch_bull_cross,trending,OOS
H4,MOEX,2026-02-12 09:00:00,2026-02-13 01:00:00,-2709.66,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,MOEX,2026-04-06 05:00:00,2026-04-07 05:00:00,6481.89,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,PLZL,2023-08-28 05:00:00,2023-08-29 05:00:00,5761.24,WIN,osc_bull_div_mac_break+osc_micro_w_entry,ranging,IS
H4,PLZL,2023-09-15 09:00:00,2023-09-18 05:00:00,-2812.09,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,volatile,IS
H4,PLZL,2023-10-06 09:00:00,2023-10-09 05:00:00,18243.94,WIN,osc_bull_div_mac_break+osc_micro_w_entry,ranging,IS
H4,PLZL,2024-03-26 05:00:00,2024-03-29 13:00:00,37473.86,WIN,osc_micro_w_entry+osc_stoch_bull_cross,volatile,IS
H4,PLZL,2025-04-08 05:00:00,2025-04-08 17:00:00,-11720.63,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,PLZL,2025-07-14 13:00:00,2025-07-15 13:00:00,20464.82,WIN,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,PLZL,2025-07-29 01:00:00,2025-07-29 17:00:00,24333.34,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,OOS
H4,PLZL,2025-09-23 09:00:00,2025-09-23 13:00:00,-883.08,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
H4,PLZL,2025-10-29 05:00:00,2025-10-30 05:00:00,24489.78,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,PLZL,2026-02-03 01:00:00,2026-02-04 05:00:00,16047.15,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,CHMF,2023-09-12 17:00:00,2023-09-14 05:00:00,-31916.19,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,CHMF,2023-09-15 09:00:00,2023-09-19 09:00:00,-27106.3,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,CHMF,2023-10-13 05:00:00,2023-10-17 17:00:00,30853.39,WIN,osc_micro_w_entry+osc_stoch_bull_cross,ranging,IS
H4,CHMF,2023-12-08 05:00:00,2023-12-14 13:00:00,-27669.93,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,CHMF,2025-01-30 09:00:00,2025-01-31 05:00:00,-5757.05,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
H4,CHMF,2025-04-24 05:00:00,2025-04-26 13:00:00,19781.15,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,OOS
H4,ALRS,2023-11-29 09:00:00,2023-11-30 09:00:00,-27670.97,STOPPED,osc_bull_div_mac_break+osc_micro_w_entry,trending,IS
H4,ALRS,2024-01-30 05:00:00,2024-02-01 09:00:00,-291.6,LOSS,osc_micro_w_entry+osc_stoch_bull_cross,ranging,IS
H4,ALRS,2024-07-18 13:00:00,2024-07-23 05:00:00,8646.02,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,ALRS,2025-03-10 09:00:00,2025-03-11 09:00:00,-31915.49,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
H4,ALRS,2025-04-17 05:00:00,2025-04-18 01:00:00,3956.12,WIN,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
H4,ALRS,2025-09-16 13:00:00,2025-09-18 01:00:00,4677.29,WIN,osc_micro_w_entry+osc_stoch_bull_cross,volatile,OOS
H4,SNGS,2023-09-15 13:00:00,2023-09-19 09:00:00,-37950.05,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,SNGS,2023-10-30 05:00:00,2023-11-02 13:00:00,-35131.48,STOPPED,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,IS
H4,SNGS,2024-01-25 09:00:00,2024-02-02 05:00:00,39743.55,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,IS
H4,SNGS,2025-02-17 09:00:00,2025-02-26 09:00:00,-25063.42,STOPPED,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,OOS
H4,SNGS,2025-03-04 13:00:00,2025-03-06 17:00:00,-23491.6,STOPPED,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,SNGS,2025-08-05 09:00:00,2025-08-06 05:00:00,-7098.17,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,volatile,OOS
H4,SNGS,2026-03-19 05:00:00,2026-03-19 09:00:00,-11497.56,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
D1,SBER,2025-04-10 21:00:00,2025-04-23 21:00:00,28134.82,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
D1,SBER,2025-11-18 21:00:00,2025-11-24 21:00:00,5928.04,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,OOS
D1,SBER,2026-01-15 21:00:00,2026-01-23 21:00:00,16031.89,WIN,osc_micro_w_entry+osc_stoch_bull_cross,ranging,OOS
D1,GAZP,2024-04-01 21:00:00,2024-04-14 21:00:00,-5474.9,LOSS,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,IS
D1,GAZP,2025-10-15 21:00:00,2025-10-19 21:00:00,12000.99,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
D1,LKOH,2025-10-15 21:00:00,2025-10-19 21:00:00,30121.14,WIN,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
