tf,ticker,entry,exit,pnl,status,rules,regime,sample
H4,SBER,2023-09-18 05:00:00,2023-09-18 09:00:00,-7064.62,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,volatile,IS
H4,SBER,2023-12-28 13:00:00,2024-01-04 05:00:00,11205.74,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,IS
H4,SBER,2024-12-18 13:00:00,2024-12-23 09:00:00,148346.68,WIN,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,ranging,IS
H4,SBER,2025-04-09 17:00:00,2025-04-10 13:00:00,-12349.23,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,SBER,2025-05-18 05:00:00,2025-05-19 01:00:00,-4330.88,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,SBER,2025-08-01 01:00:00,2025-08-05 05:00:00,-1742.72,LOSS,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,SBER,2025-09-17 13:00:00,2025-09-18 05:00:00,-3988.03,LOSS,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,SBER,2025-11-01 05:00:00,2025-11-05 01:00:00,7406.07,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,OOS
H4,SBER,2025-11-19 09:00:00,2025-11-19 17:00:00,3543.88,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,SBER,2026-03-05 09:00:00,2026-03-06 05:00:00,2586.69,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,trending,OOS
H4,SBER,2026-03-09 01:00:00,2026-03-09 13:00:00,-2752.66,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,GAZP,2023-10-31 13:00:00,2023-11-02 05:00:00,11047.73,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,GAZP,2023-12-11 09:00:00,2023-12-12 05:00:00,-12667.97,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,volatile,IS
H4,GAZP,2024-01-31 09:00:00,2024-02-01 09:00:00,1931.86,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,trending,IS
H4,GAZP,2024-02-02 09:00:00,2024-02-02 17:00:00,-14439.05,STOPPED,osc_bull_div_mac_break+osc_micro_w_entry,volatile,IS
H4,GAZP,2024-04-27 13:00:00,2024-05-02 09:00:00,-17034.38,STOPPED,osc_bull_div_mac_break+osc_micro_w_entry,ranging,IS
H4,GAZP,2024-08-14 05:00:00,2024-08-14 13:00:00,-10026.24,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,IS
H4,GAZP,2024-09-17 13:00:00,2024-09-18 09:00:00,-6664.77,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,volatile,IS
H4,GAZP,2025-03-04 13:00:00,2025-03-05 01:00:00,-16208.8,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
H4,GAZP,2025-04-01 01:00:00,2025-04-01 09:00:00,-40418.99,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,GAZP,2025-04-10 09:00:00,2025-04-10 13:00:00,-15626.03,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,GAZP,2025-06-13 01:00:00,2025-06-15 05:00:00,3766.18,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,GAZP,2025-08-18 17:00:00,2025-08-20 09:00:00,-19825.49,STOPPED,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,ranging,OOS
H4,GAZP,2025-11-18 05:00:00,2025-11-18 17:00:00,-9047.96,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,volatile,OOS
H4,GAZP,2025-12-26 17:00:00,2025-12-27 13:00:00,1615.07,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,GAZP,2026-04-20 01:00:00,2026-04-24 09:00:00,-13650.37,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,ranging,OOS
H4,GAZP,2026-05-28 05:00:00,2026-05-29 01:00:00,-7002.49,LOSS,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,LKOH,2024-03-22 05:00:00,2024-03-22 09:00:00,-26954.27,STOPPED,osc_bull_div_mac_break+osc_micro_w_entry,ranging,IS
H4,LKOH,2024-03-25 09:00:00,2024-03-28 09:00:00,6650.22,WIN,osc_micro_w_entry+osc_stoch_bull_cross,volatile,IS
H4,LKOH,2024-09-17 13:00:00,2024-09-17 17:00:00,-7318.81,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,volatile,IS
H4,LKOH,2024-10-03 13:00:00,2024-10-04 13:00:00,9295.87,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,IS
H4,LKOH,2025-04-09 17:00:00,2025-04-10 09:00:00,-15363.29,LOSS,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,LKOH,2025-06-13 01:00:00,2025-06-15 05:00:00,18066.24,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,LKOH,2025-06-30 09:00:00,2025-07-01 05:00:00,16.21,WIN,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
H4,LKOH,2025-08-30 05:00:00,2025-09-01 13:00:00,-9486.45,STOPPED,osc_bull_div_mac_break+osc_stoch_bull_cross,trending,OOS
H4,LKOH,2025-10-10 05:00:00,2025-10-10 09:00:00,-13321.27,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,volatile,OOS
H4,LKOH,2026-01-21 17:00:00,2026-01-22 05:00:00,-906.0,LOSS,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,LKOH,2026-02-10 01:00:00,2026-02-10 09:00:00,-14738.75,STOPPED,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,LKOH,2026-05-17 09:00:00,2026-05-19 09:00:00,12706.53,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,LKOH,2026-06-29 09:00:00,2026-06-30 01:00:00,9145.86,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,NVTK,2023-11-10 13:00:00,2023-11-14 09:00:00,-21292.12,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,NVTK,2024-06-14 09:00:00,2024-06-17 05:00:00,983.06,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,IS
H4,NVTK,2024-07-18 13:00:00,2024-07-19 09:00:00,19507.62,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,IS
H4,NVTK,2024-09-16 05:00:00,2024-09-17 09:00:00,8665.29,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,IS
H4,NVTK,2024-09-17 13:00:00,2024-09-18 05:00:00,-8581.42,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,IS
H4,NVTK,2024-11-02 09:00:00,2024-11-06 13:00:00,38201.24,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,NVTK,2024-12-02 05:00:00,2024-12-02 13:00:00,-1533.18,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,IS
H4,NVTK,2025-05-07 09:00:00,2025-05-07 17:00:00,49.77,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,NVTK,2025-06-13 01:00:00,2025-06-13 05:00:00,-5079.66,LOSS,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,NVTK,2025-08-04 09:00:00,2025-08-05 05:00:00,13404.87,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,NVTK,2025-09-16 01:00:00,2025-09-17 09:00:00,-139.44,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,NVTK,2025-12-26 05:00:00,2025-12-27 13:00:00,15948.58,WIN,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,NVTK,2026-02-20 05:00:00,2026-02-21 13:00:00,5181.09,WIN,osc_bull_div_mac_break+osc_micro_w_entry,volatile,OOS
H4,NVTK,2026-04-03 17:00:00,2026-04-06 05:00:00,2275.6,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,NVTK,2026-05-05 09:00:00,2026-05-06 05:00:00,-1603.76,LOSS,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,NVTK,2026-05-28 01:00:00,2026-05-31 05:00:00,-2489.03,LOSS,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,NVTK,2026-06-26 09:00:00,2026-06-30 01:00:00,20680.98,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,ROSN,2023-09-15 13:00:00,2023-09-18 09:00:00,55.56,WIN,osc_bull_div_mac_break+osc_micro_w_entry,volatile,IS
H4,ROSN,2023-12-15 13:00:00,2023-12-18 13:00:00,9603.95,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,IS
H4,ROSN,2024-02-01 05:00:00,2024-02-05 13:00:00,18820.7,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,IS
H4,ROSN,2024-08-07 09:00:00,2024-08-08 13:00:00,1120.01,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,ROSN,2024-11-22 09:00:00,2024-11-26 09:00:00,-33058.42,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,ROSN,2025-02-06 13:00:00,2025-02-07 09:00:00,3088.14,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,ROSN,2025-02-17 05:00:00,2025-02-24 09:00:00,-22417.48,STOPPED,osc_bull_div_mac_break+osc_stoch_bull_cross,trending,OOS
H4,ROSN,2025-03-10 09:00:00,2025-03-13 09:00:00,-20873.69,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,ROSN,2025-03-16 05:00:00,2025-03-17 09:00:00,10438.64,WIN,osc_bull_div_mac_break+osc_micro_w_entry,volatile,OOS
H4,ROSN,2025-07-29 09:00:00,2025-07-30 13:00:00,-4297.26,STOPPED,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,OOS
H4,ROSN,2025-09-17 17:00:00,2025-09-19 05:00:00,-18226.12,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,ROSN,2025-12-26 17:00:00,2025-12-28 05:00:00,-742.69,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
H4,ROSN,2026-01-22 05:00:00,2026-01-22 13:00:00,-4159.93,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,volatile,OOS
H4,ROSN,2026-02-05 05:00:00,2026-02-05 09:00:00,-15071.71,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,ranging,OOS
H4,ROSN,2026-02-20 09:00:00,2026-02-20 13:00:00,-4783.03,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,volatile,OOS
H4,ROSN,2026-05-18 13:00:00,2026-05-20 05:00:00,-17578.51,STOPPED,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,OOS
H4,ROSN,2026-05-30 13:00:00,2026-06-02 05:00:00,762.43,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,ROSN,2026-06-26 09:00:00,2026-06-29 01:00:00,-8567.75,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,TATN,2023-10-19 17:00:00,2023-10-24 05:00:00,-13401.67,LOSS,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,IS
H4,TATN,2023-12-08 17:00:00,2023-12-11 09:00:00,-8332.55,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,IS
H4,TATN,2024-03-26 09:00:00,2024-04-02 05:00:00,22025.45,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,TATN,2024-04-23 05:00:00,2024-05-06 05:00:00,-15029.1,LOSS,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,IS
H4,TATN,2024-11-02 09:00:00,2024-11-05 13:00:00,15068.27,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,TATN,2025-03-04 05:00:00,2025-03-06 05:00:00,-31775.0,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,volatile,OOS
H4,TATN,2025-06-13 01:00:00,2025-06-15 05:00:00,34682.48,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,TATN,2025-07-14 13:00:00,2025-07-15 09:00:00,-6646.42,LOSS,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,TATN,2025-08-04 01:00:00,2025-08-04 09:00:00,-1058.37,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,TATN,2025-09-25 05:00:00,2025-09-25 13:00:00,-5944.52,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,TATN,2025-11-18 05:00:00,2025-11-19 05:00:00,-10541.21,LOSS,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,volatile,OOS
H4,TATN,2026-01-15 17:00:00,2026-01-16 01:00:00,-1330.4,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,volatile,OOS
H4,TATN,2026-02-04 05:00:00,2026-02-05 09:00:00,-27452.04,STOPPED,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,OOS
H4,TATN,2026-04-09 01:00:00,2026-04-10 09:00:00,-27581.18,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,TATN,2026-06-03 09:00:00,2026-06-03 13:00:00,-10815.79,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
H4,TATN,2026-06-19 05:00:00,2026-06-22 09:00:00,-33773.65,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,TATN,2026-06-26 09:00:00,2026-06-29 01:00:00,-10755.48,LOSS,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,MGNT,2023-09-14 13:00:00,2023-09-18 05:00:00,-6110.64,LOSS,osc_bull_div_mac_break+osc_stoch_bull_cross,trending,IS
H4,MGNT,2024-11-29 05:00:00,2024-12-02 09:00:00,41942.19,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,IS
H4,MGNT,2024-12-18 13:00:00,2024-12-19 13:00:00,-5876.33,LOSS,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,volatile,IS
H4,MGNT,2025-04-08 09:00:00,2025-04-09 05:00:00,-34988.17,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
H4,MGNT,2025-04-10 09:00:00,2025-04-10 13:00:00,-1324.04,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
H4,MGNT,2025-06-26 05:00:00,2025-06-26 09:00:00,-7719.92,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,MGNT,2025-07-14 13:00:00,2025-07-15 13:00:00,7149.26,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,trending,OOS
H4,MGNT,2025-07-16 13:00:00,2025-07-17 09:00:00,-4159.47,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
