tf,ticker,entry,exit,pnl,status,rules,regime,sample
D1,ALRS,2025-02-10 21:00:00,2025-02-13 21:00:00,43508.58,WIN,osc_bull_div_mac_break+osc_micro_w_entry,volatile,OOS
D1,ALRS,2025-03-01 21:00:00,2025-03-23 21:00:00,-55617.47,STOPPED,osc_bull_div_mac_break+osc_stoch_bull_cross,volatile,OOS
D1,GAZP,2025-10-15 21:00:00,2025-10-19 21:00:00,11724.99,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
D1,LKOH,2025-10-15 21:00:00,2025-10-19 21:00:00,29822.4,WIN,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
D1,MGNT,2025-02-10 21:00:00,2025-02-13 21:00:00,5882.54,WIN,osc_bull_div_mac_break+osc_micro_w_entry,volatile,OOS
D1,MOEX,2025-04-21 21:00:00,2025-04-24 21:00:00,5967.0,WIN,osc_bull_div_mac_break+osc_micro_w_entry,volatile,OOS
D1,MOEX,2026-01-16 21:00:00,2026-01-23 21:00:00,22502.9,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,OOS
D1,MOEX,2026-01-26 21:00:00,2026-01-27 21:00:00,-9059.57,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
D1,NVTK,2025-10-14 21:00:00,2025-10-20 21:00:00,26673.98,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
D1,ROSN,2025-10-15 21:00:00,2025-10-21 21:00:00,-52010.55,STOPPED,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
D1,ROSN,2026-06-01 21:00:00,2026-06-08 21:00:00,-63566.82,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
D1,SBER,2025-04-10 21:00:00,2025-04-23 21:00:00,27888.11,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
D1,SBER,2025-11-18 21:00:00,2025-11-24 21:00:00,5619.76,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,OOS
D1,SBER,2026-01-15 21:00:00,2026-01-23 21:00:00,15721.9,WIN,osc_micro_w_entry+osc_stoch_bull_cross,ranging,OOS
D1,TATN,2026-02-27 21:00:00,2026-03-03 21:00:00,88366.01,WIN,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,volatile,OOS
D1,TATN,2026-03-08 21:00:00,2026-03-09 21:00:00,-20060.71,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
D1,TATN,2026-03-19 21:00:00,2026-03-30 21:00:00,14341.42,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,trending,OOS
D1,TATN,2026-05-11 21:00:00,2026-05-19 21:00:00,30043.5,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,volatile,OOS
