tf,ticker,entry,exit,pnl,status,rules,regime,sample
H4,ALRS,2023-11-29 09:00:00,2023-11-30 09:00:00,-27970.95,STOPPED,osc_bull_div_mac_break+osc_micro_w_entry,trending,IS
H4,ALRS,2024-01-30 05:00:00,2024-02-01 09:00:00,-583.2,LOSS,osc_micro_w_entry+osc_stoch_bull_cross,ranging,IS
H4,ALRS,2024-07-18 13:00:00,2024-07-23 05:00:00,8354.6,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,ALRS,2025-03-10 09:00:00,2025-03-11 09:00:00,-32209.42,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
H4,ALRS,2025-04-17 05:00:00,2025-04-18 01:00:00,3671.86,WIN,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
H4,ALRS,2025-09-16 13:00:00,2025-09-18 01:00:00,4391.92,WIN,osc_micro_w_entry+osc_stoch_bull_cross,volatile,OOS
H4,CHMF,2023-09-12 17:00:00,2023-09-14 05:00:00,-32215.87,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,CHMF,2023-09-15 09:00:00,2023-09-19 09:00:00,-27396.44,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,CHMF,2023-10-13 05:00:00,2023-10-17 17:00:00,30571.33,WIN,osc_micro_w_entry+osc_stoch_bull_cross,ranging,IS
H4,CHMF,2023-12-08 05:00:00,2023-12-14 13:00:00,-27961.07,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,CHMF,2025-01-30 09:00:00,2025-01-31 05:00:00,-6039.75,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
H4,CHMF,2025-04-24 05:00:00,2025-04-26 13:00:00,19500.32,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,OOS
H4,GAZP,2023-10-31 13:00:00,2023-11-02 05:00:00,10747.74,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,GAZP,2023-12-11 09:00:00,2023-12-12 05:00:00,-12971.18,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,volatile,IS
H4,GAZP,2024-01-31 09:00:00,2024-02-01 09:00:00,1632.55,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,trending,IS
H4,GAZP,2024-02-02 09:00:00,2024-02-02 17:00:00,-14738.87,STOPPED,osc_bull_div_mac_break+osc_micro_w_entry,volatile,IS
H4,GAZP,2024-05-02 05:00:00,2024-05-02 09:00:00,-18620.83,STOPPED,osc_bull_div_mac_break+osc_stoch_bull_cross,volatile,IS
H4,GAZP,2025-03-04 13:00:00,2025-03-05 01:00:00,-16771.95,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
H4,GAZP,2025-04-01 01:00:00,2025-04-01 09:00:00,-41378.12,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,GAZP,2025-04-10 09:00:00,2025-04-10 13:00:00,-16118.53,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,GAZP,2025-08-18 17:00:00,2025-08-20 09:00:00,-20344.27,STOPPED,osc_bull_div_mac_break+osc_micro_w_entry+osc_stoch_bull_cross,ranging,OOS
H4,GAZP,2025-11-18 05:00:00,2025-11-18 17:00:00,-9425.13,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,volatile,OOS
H4,GAZP,2026-04-20 01:00:00,2026-04-24 09:00:00,-14060.23,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,ranging,OOS
H4,LKOH,2024-03-22 05:00:00,2024-03-22 09:00:00,-27252.54,STOPPED,osc_bull_div_mac_break+osc_micro_w_entry,ranging,IS
H4,LKOH,2024-03-25 09:00:00,2024-03-28 09:00:00,6359.51,WIN,osc_micro_w_entry+osc_stoch_bull_cross,volatile,IS
H4,LKOH,2025-04-09 17:00:00,2025-04-10 09:00:00,-15656.11,LOSS,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,LKOH,2025-08-30 05:00:00,2025-09-01 13:00:00,-9586.64,STOPPED,osc_bull_div_mac_break+osc_stoch_bull_cross,trending,OOS
H4,MGNT,2023-09-14 13:00:00,2023-09-18 05:00:00,-6409.03,LOSS,osc_bull_div_mac_break+osc_stoch_bull_cross,trending,IS
H4,MGNT,2025-04-08 09:00:00,2025-04-09 05:00:00,-34202.51,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
H4,MGNT,2025-04-10 09:00:00,2025-04-10 13:00:00,-1546.54,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
H4,MGNT,2026-04-01 05:00:00,2026-04-02 09:00:00,-15579.99,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,MOEX,2023-09-12 05:00:00,2023-09-13 13:00:00,-5006.41,LOSS,osc_bull_div_mac_break+osc_stoch_bull_cross,volatile,IS
H4,MOEX,2024-02-26 05:00:00,2024-02-27 17:00:00,21381.74,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,MOEX,2024-05-29 05:00:00,2024-05-30 09:00:00,15735.59,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,IS
H4,MOEX,2025-04-02 09:00:00,2025-04-03 09:00:00,-16835.28,STOPPED,osc_bull_div_mac_break+osc_stoch_bull_cross,trending,OOS
H4,MOEX,2026-02-12 09:00:00,2026-02-13 01:00:00,-3014.19,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,MOEX,2026-04-06 05:00:00,2026-04-07 05:00:00,6178.25,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,NVTK,2023-11-10 13:00:00,2023-11-14 09:00:00,-21591.74,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
