tf,ticker,entry,exit,pnl,status,rules,regime,sample
H4,ALRS,2023-11-29 09:00:00,2023-11-30 09:00:00,-27970.95,STOPPED,osc_bull_div_mac_break+osc_micro_w_entry,trending,IS
H4,ALRS,2024-01-30 05:00:00,2024-02-01 09:00:00,-583.2,LOSS,osc_micro_w_entry+osc_stoch_bull_cross,ranging,IS
H4,ALRS,2024-07-18 13:00:00,2024-07-23 05:00:00,8354.6,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,ALRS,2024-09-17 05:00:00,2024-09-18 05:00:00,5242.41,WIN,osc_bull_div_mac_break+osc_micro_w_entry,volatile,IS
H4,ALRS,2024-11-28 17:00:00,2024-11-29 09:00:00,-16420.88,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,IS
H4,ALRS,2025-03-10 09:00:00,2025-03-11 09:00:00,-31842.65,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
H4,ALRS,2025-04-17 05:00:00,2025-04-18 01:00:00,3630.05,WIN,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
H4,ALRS,2025-07-18 05:00:00,2025-07-19 09:00:00,10056.18,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,volatile,OOS
H4,ALRS,2025-09-16 13:00:00,2025-09-18 01:00:00,4388.09,WIN,osc_micro_w_entry+osc_stoch_bull_cross,volatile,OOS
H4,ALRS,2025-12-16 05:00:00,2025-12-16 17:00:00,4065.31,WIN,osc_bull_div_mac_break+osc_micro_w_entry,volatile,OOS
H4,ALRS,2026-01-09 01:00:00,2026-01-09 09:00:00,1999.09,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,ALRS,2026-06-29 05:00:00,2026-06-30 13:00:00,12758.53,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,CHMF,2023-09-12 17:00:00,2023-09-14 05:00:00,-32215.87,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,CHMF,2023-09-15 09:00:00,2023-09-19 09:00:00,-27396.44,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,CHMF,2023-10-13 05:00:00,2023-10-17 17:00:00,30571.33,WIN,osc_micro_w_entry+osc_stoch_bull_cross,ranging,IS
H4,CHMF,2023-12-08 05:00:00,2023-12-14 13:00:00,-27961.07,STOPPED,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,CHMF,2024-08-07 13:00:00,2024-08-14 13:00:00,656.12,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,CHMF,2024-09-17 05:00:00,2024-09-17 17:00:00,11681.31,WIN,osc_bull_div_mac_break+osc_micro_w_entry,ranging,IS
H4,CHMF,2024-11-02 13:00:00,2024-11-06 09:00:00,38152.17,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,CHMF,2025-01-30 09:00:00,2025-01-31 05:00:00,-6366.22,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
H4,CHMF,2025-04-21 09:00:00,2025-04-23 05:00:00,31262.06,WIN,osc_micro_w_entry+osc_stoch_bull_cross,volatile,OOS
H4,CHMF,2025-04-24 05:00:00,2025-04-26 13:00:00,21213.64,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,ranging,OOS
H4,CHMF,2025-05-29 09:00:00,2025-05-29 13:00:00,-13087.53,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,CHMF,2025-06-17 05:00:00,2025-06-18 01:00:00,28665.49,WIN,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
H4,CHMF,2025-07-14 09:00:00,2025-07-15 09:00:00,32248.22,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,CHMF,2025-07-18 05:00:00,2025-07-23 01:00:00,9901.78,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,trending,OOS
H4,CHMF,2025-11-19 01:00:00,2025-11-19 05:00:00,-411.23,WIN,osc_bull_div_mac_break+osc_micro_w_entry,trending,OOS
H4,CHMF,2026-01-16 05:00:00,2026-01-16 13:00:00,-6185.55,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
H4,CHMF,2026-04-07 05:00:00,2026-04-07 09:00:00,-8421.75,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
H4,CHMF,2026-04-22 09:00:00,2026-04-23 05:00:00,16635.56,WIN,osc_micro_w_entry+osc_stoch_bull_cross,ranging,OOS
H4,CHMF,2026-06-01 05:00:00,2026-06-03 01:00:00,14169.4,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,OOS
H4,GAZP,2023-10-31 13:00:00,2023-11-02 05:00:00,10747.74,WIN,osc_micro_w_entry+osc_stoch_bull_cross,trending,IS
H4,GAZP,2023-12-11 09:00:00,2023-12-12 05:00:00,-12971.18,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,volatile,IS
H4,GAZP,2024-01-31 09:00:00,2024-02-01 09:00:00,1632.55,WIN,osc_bull_div_mac_break+osc_stoch_bull_cross,trending,IS
H4,GAZP,2024-02-02 09:00:00,2024-02-02 17:00:00,-14738.87,STOPPED,osc_bull_div_mac_break+osc_micro_w_entry,volatile,IS
H4,GAZP,2024-04-27 13:00:00,2024-05-02 09:00:00,-17329.78,STOPPED,osc_bull_div_mac_break+osc_micro_w_entry,ranging,IS
H4,GAZP,2024-08-14 05:00:00,2024-08-14 13:00:00,-10316.44,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,IS
H4,GAZP,2024-09-17 13:00:00,2024-09-18 09:00:00,-6951.85,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,volatile,IS
H4,GAZP,2025-03-04 13:00:00,2025-03-05 01:00:00,-16493.78,LOSS,osc_bull_div_mac_break+osc_micro_w_entry,ranging,OOS
