  тикер    баров  разогрев  IS род.  OOS род.  OOS/IS  IS сделок  OOS сделок
  ALRS       890        50        0         4       —          0           2
  CHMF       890        50        1         1    1.00          1           0
  GAZP       890        50        1         1    1.00          1           1
  LKOH       890        50        2         1    0.50          0           1
  MGNT       890        50        0         3       —          0           1
  MOEX       890        50        0         5       —          0           3
  NVTK       886        50        2         1    0.50          2           1
  PLZL       883        50        0         0       —          0           0
  ROSN       890        50        0         2       —          0           2
  SBER       890        50        0         6       —          0           3
  SNGS       890        50        0         2       —          0           0
  TATN       888        50        0         5       —          0           4
  ИТОГО                600        6        31    5.17
