tf	metric	value	zero_kind
D1	downtrend	0	недостижим по построению (фильтр выключен)
D1	position_open	2	
D1	sizing	0	ноль наблюдений (путь достигнут 35 раз)
D1	capital	0	ноль наблюдений (путь достигнут 35 раз)
D1	born	37	
D1	passed	35	
D1	gate_active	0	
D1	identity_holds	1	
H4	downtrend	0	недостижим по построению (фильтр выключен)
H4	position_open	18	
H4	sizing	0	ноль наблюдений (путь достигнут 162 раз)
H4	capital	0	ноль наблюдений (путь достигнут 162 раз)
H4	born	180	
H4	passed	162	
H4	gate_active	0	
H4	identity_holds	1	
