leg	ticker	entry_session	year	sample	pnl	status
on	ALRS	2025-02-11	2025	OOS	43508.58	WIN
on	ALRS	2025-03-02	2025	OOS	-55617.47	STOPPED
on	CHMF	2023-12-26	2023	IS	31523.9	WIN
on	GAZP	2024-04-02	2024	IS	-5774.86	LOSS
on	GAZP	2025-10-16	2025	OOS	11724.99	WIN
on	LKOH	2025-10-16	2025	OOS	29822.4	WIN
on	MGNT	2025-02-11	2025	OOS	5882.54	WIN
on	MOEX	2025-04-22	2025	OOS	5967.0	WIN
on	MOEX	2026-01-17	2026	OOS	22502.9	WIN
on	MOEX	2026-01-27	2026	OOS	-9059.57	LOSS
on	NVTK	2023-09-27	2023	IS	30226.44	WIN
on	NVTK	2023-12-05	2023	IS	-55428.22	STOPPED
on	NVTK	2025-10-15	2025	OOS	26673.98	WIN
on	ROSN	2025-10-16	2025	OOS	-52010.55	STOPPED
on	ROSN	2026-06-02	2026	OOS	-63566.82	STOPPED
on	SBER	2025-04-11	2025	OOS	27888.11	WIN
on	SBER	2025-11-19	2025	OOS	5619.76	WIN
on	SBER	2026-01-16	2026	OOS	15721.9	WIN
on	TATN	2026-02-28	2026	OOS	88366.01	WIN
on	TATN	2026-03-09	2026	OOS	-20060.71	LOSS
on	TATN	2026-03-20	2026	OOS	14341.42	WIN
on	TATN	2026-05-12	2026	OOS	30043.5	WIN
off	ALRS	2025-02-11	2025	OOS	43508.58	WIN
off	ALRS	2025-03-02	2025	OOS	-55617.47	STOPPED
off	ALRS	2025-07-18	2025	OOS	-4411.54	LOSS
off	ALRS	2026-01-19	2026	OOS	-9424.32	LOSS
off	CHMF	2023-12-26	2023	IS	31523.9	WIN
off	CHMF	2025-11-30	2025	OOS	-10434.78	LOSS
off	GAZP	2024-04-02	2024	IS	-5774.86	LOSS
off	GAZP	2025-10-16	2025	OOS	11724.99	WIN
off	LKOH	2024-09-09	2024	IS	42763.1	WIN
off	LKOH	2025-10-16	2025	OOS	31119.03	WIN
off	MGNT	2025-02-11	2025	OOS	5882.54	WIN
off	MGNT	2025-07-19	2025	OOS	10256.33	WIN
off	MGNT	2025-11-19	2025	OOS	62735.04	WIN
off	MOEX	2025-04-22	2025	OOS	5967.0	WIN
off	MOEX	2025-06-24	2025	OOS	24626.29	WIN
off	MOEX	2025-10-20	2025	OOS	-30126.3	LOSS
off	MOEX	2026-01-17	2026	OOS	22380.67	WIN
off	MOEX	2026-01-27	2026	OOS	-9010.65	LOSS
off	NVTK	2023-09-27	2023	IS	30226.44	WIN
off	NVTK	2023-12-05	2023	IS	-55428.22	STOPPED
off	NVTK	2025-10-15	2025	OOS	26673.98	WIN
off	ROSN	2025-10-16	2025	OOS	-52010.55	STOPPED
off	ROSN	2026-06-02	2026	OOS	-63566.82	STOPPED
off	SBER	2025-04-11	2025	OOS	27888.11	WIN
off	SBER	2025-10-16	2025	OOS	-25853.01	LOSS
off	SBER	2025-11-03	2025	OOS	2927.83	WIN
off	SBER	2025-11-19	2025	OOS	5494.76	WIN
off	SBER	2026-01-16	2026	OOS	15373.24	WIN
off	SNGS	2025-06-14	2025	OOS	-41659.02	LOSS
off	SNGS	2025-10-16	2025	OOS	-54196.85	STOPPED
off	TATN	2026-02-28	2026	OOS	88366.01	WIN
off	TATN	2026-03-09	2026	OOS	-20060.71	LOSS
off	TATN	2026-03-20	2026	OOS	14341.42	WIN
off	TATN	2026-05-12	2026	OOS	30043.5	WIN
