run	n	pf	pnl	top2_share_pct	short
0	18	0.523512	-139908.7339	-89.2404	0
1	18	0.865631	-52902.3984	-318.3934	0
2	18	0.933046	-19293.4104	-838.4897	0
3	18	1.123942	24181.1900	590.9025	0
4	18	0.651253	-116637.1658	-149.2508	0
5	18	1.037270	9152.8612	1262.7106	0
6	18	0.711864	-85731.5395	-166.9077	0
7	18	0.071472	-442807.4320	-5.9002	0
8	18	0.170497	-342016.2608	-16.6654	0
9	18	0.705940	-93217.9653	-112.1359	0
10	18	0.417006	-172277.3536	-41.7473	0
11	18	0.523598	-136187.7360	-61.7564	0
12	18	0.577762	-178241.8053	-94.2716	0
13	18	0.145395	-357116.7847	-12.8793	0
14	18	1.171999	43948.1576	442.5930	0
15	18	0.265384	-209528.1697	-21.7937	0
16	18	1.663257	173787.4340	132.0043	0
17	18	0.436944	-214471.4121	-52.1398	0
18	18	1.281941	91663.0312	248.6019	0
19	18	0.407547	-272220.2182	-43.0598	0
20	18	0.756106	-99146.7966	-180.7906	0
21	18	0.778326	-67441.9346	-180.9922	0
22	18	2.042930	220659.0940	83.9476	0
23	18	0.885592	-38645.2875	-466.0343	0
24	18	0.534903	-177904.4885	-88.8564	0
25	18	0.693361	-102025.0225	-147.0319	0
26	18	0.431685	-230086.7753	-52.8526	0
27	18	0.671273	-92374.6691	-146.6338	0
28	18	0.124438	-412071.5778	-9.6237	0
29	18	0.434474	-213560.2514	-41.6467	0
30	18	1.312669	85847.1394	224.9136	0
31	18	0.811369	-59696.9909	-216.1945	0
32	18	0.754522	-99357.3770	-258.5329	0
33	18	0.541534	-217944.0716	-65.8488	0
34	18	1.130972	36060.5758	463.4933	0
35	18	0.900124	-38565.7902	-539.6777	0
36	18	0.523136	-165973.4440	-102.9568	0
37	18	0.804979	-59383.0481	-255.8450	0
38	18	0.675486	-97399.4072	-190.0426	0
39	18	1.138399	44337.8765	423.4853	0
40	18	0.550608	-155613.6223	-97.3644	0
41	18	0.495721	-142967.0391	-66.0389	0
42	18	1.070468	13979.2799	1097.8288	0
43	18	0.944267	-20738.6976	-996.7435	0
44	18	0.226439	-277707.6335	-25.8803	0
45	18	0.388895	-246418.4045	-55.7460	0
46	18	1.359083	81897.4492	238.6837	0
47	18	0.292018	-355942.4825	-32.1929	0
48	18	0.679921	-104331.3418	-163.1100	0
49	18	1.059790	18898.4926	1139.7099	0
50	18	0.532554	-142031.9388	-50.5388	0
51	18	1.482631	142227.7437	125.1398	0
52	18	0.679286	-96623.9172	-175.6567	0
53	18	1.500293	123644.5414	191.4347	0
54	18	0.212854	-348096.3381	-14.5164	0
55	18	0.268396	-344843.1039	-31.4091	0
56	18	1.026472	6377.5941	1870.9010	0
57	18	0.250489	-197503.1051	-21.3462	0
58	18	0.726695	-97562.2392	-130.0555	0
59	18	0.491241	-203060.5409	-59.0290	0
60	18	0.234655	-282262.6908	-27.1735	0
61	18	0.405213	-284004.7360	-52.3668	0
62	18	1.281406	94786.8272	208.2456	0
63	18	0.313074	-265295.2190	-29.8414	0
64	18	0.899249	-35115.4366	-584.4115	0
65	18	0.663825	-106257.6396	-124.6222	0
66	18	0.844423	-57832.3699	-378.2299	0
67	18	0.403489	-272298.2278	-53.6477	0
68	18	1.396597	84771.2696	192.4455	0
69	18	0.428798	-215872.7556	-61.4554	0
70	18	0.829714	-71531.0583	-351.4100	0
71	18	1.073154	25349.8781	831.7385	0
72	18	0.316645	-294479.2298	-35.4429	0
73	18	1.037047	8754.9925	1689.5986	0
74	18	0.531582	-119963.9809	-75.0124	0
75	18	0.663917	-87185.0514	-101.7934	0
76	18	0.153530	-278849.1402	-17.9375	0
77	18	0.244553	-278715.7510	-26.3868	0
78	18	0.602733	-103626.3315	-114.0690	0
79	18	0.623194	-118546.0367	-90.0981	0
80	18	0.801021	-67611.3624	-231.9317	0
81	18	1.166890	45585.0983	349.4778	0
82	18	1.823141	245429.3126	86.5518	0
83	18	0.918616	-26476.8374	-617.8411	0
84	18	0.144298	-435892.2239	-15.5277	0
85	18	0.376220	-242876.0102	-27.0133	0
86	18	0.635992	-132023.6171	-116.9344	0
87	18	1.778738	206459.7291	108.5528	0
88	18	0.608693	-146824.7531	-78.2990	0
89	18	2.367793	355510.8125	64.2385	0
90	18	1.279231	87021.8860	275.7979	0
91	18	0.284846	-242811.5921	-18.6330	0
92	18	0.273870	-296193.4200	-26.8940	0
93	18	0.479291	-259233.2341	-65.3790	0
94	18	0.314350	-290712.1396	-34.5278	0
95	18	0.948360	-13859.5189	-842.5412	0
96	18	0.584587	-104585.0094	-80.3001	0
97	18	0.469747	-212669.8915	-59.9106	0
98	18	0.883332	-38807.6168	-547.5522	0
99	18	0.346421	-233828.0098	-40.1366	0
100	18	0.478915	-153463.7024	-75.0051	0
101	18	0.695828	-91348.5418	-117.1814	0
102	18	0.575836	-156552.1380	-88.1031	0
103	18	0.271266	-257243.6302	-17.0737	0
104	18	0.825470	-46348.4343	-370.4889	0
105	18	0.412107	-200493.5987	-49.5713	0
106	18	1.494423	102054.5217	143.6557	0
107	18	0.522237	-162677.0707	-45.4264	0
108	18	0.056026	-443773.6433	-5.0192	0
109	18	0.705161	-90303.5993	-130.5151	0
110	18	0.322855	-277130.7962	-31.0115	0
111	18	0.425268	-222627.2934	-49.5988	0
112	18	0.366437	-226833.0304	-38.1228	0
113	18	0.175320	-483018.0642	-18.8926	0
114	18	0.871946	-32719.1106	-486.5109	0
115	18	0.889057	-28243.2204	-492.5767	0
116	18	1.055994	14779.7272	1224.1833	0
117	18	0.537919	-165005.8550	-89.9970	0
118	18	0.207952	-515535.5022	-26.2550	0
119	18	0.226614	-392994.1386	-27.5255	0
120	18	1.812097	129907.8258	105.9950	0
121	18	0.676200	-98354.4920	-152.4562	0
122	18	0.678903	-94486.3270	-115.4096	0
123	18	0.304818	-321216.8192	-32.5693	0
124	18	3.186906	252400.4574	49.3742	0
125	18	0.336908	-296889.2462	-42.5271	0
126	18	0.761365	-56133.4953	-215.7505	0
127	18	0.912930	-30890.5793	-640.6969	0
128	18	1.181634	58037.8108	449.5855	0
129	18	0.490962	-252063.0984	-89.3015	0
130	18	0.681573	-93182.2612	-125.5991	0
131	18	0.736188	-119223.6885	-156.4004	0
132	18	0.423017	-251368.3176	-72.9549	0
133	18	0.422758	-274898.7955	-51.9545	0
134	18	0.744188	-86951.7645	-199.4191	0
135	18	0.892499	-27373.1387	-353.4270	0
136	18	0.942645	-18099.0222	-840.0357	0
137	18	0.683192	-160121.1456	-128.8213	0
138	18	0.222924	-309350.6103	-22.2004	0
139	18	0.361508	-209878.3072	-47.2071	0
140	18	0.851125	-59420.3432	-298.9797	0
141	18	0.156499	-371896.8955	-15.6800	0
142	18	0.747454	-70252.1442	-132.6231	0
143	18	0.406951	-191965.7373	-51.2485	0
144	18	0.924914	-22888.4613	-725.1143	0
145	18	1.483063	160909.8259	144.7810	0
146	18	0.339988	-242572.9059	-32.9980	0
147	18	0.668607	-82329.8286	-105.2752	0
148	18	0.582170	-149294.1248	-124.2582	0
149	18	0.406153	-169890.4631	-49.7546	0
150	18	0.629820	-166832.8226	-110.1629	0
151	18	0.844729	-51777.3121	-467.2967	0
152	18	0.669812	-116987.7842	-156.8458	0
153	18	0.327529	-274436.2019	-23.5809	0
154	18	0.863726	-59620.5317	-367.5370	0
155	18	0.940192	-21305.7831	-1129.9298	0
156	18	0.445654	-303470.8954	-62.3700	0
157	18	0.886453	-29045.8217	-371.9165	0
158	18	0.132402	-284130.3694	-8.9400	0
159	18	1.400615	73526.3688	155.9718	0
160	18	0.784995	-65893.8425	-235.7602	0
161	18	0.572689	-122983.3459	-80.7273	0
162	18	0.604582	-112172.9758	-105.1713	0
163	18	0.262227	-245985.5720	-19.1841	0
164	18	0.893859	-39869.1003	-641.9369	0
165	18	0.794326	-60048.1929	-207.9703	0
166	18	0.335562	-324605.2529	-47.9065	0
167	18	1.452311	157239.3427	155.6490	0
168	18	0.262871	-320935.8345	-29.5055	0
169	18	0.165161	-434637.0763	-12.2472	0
170	18	0.688166	-123362.7069	-116.2842	0
171	18	0.552114	-205695.5431	-73.9867	0
172	18	0.292295	-344553.4934	-33.9839	0
173	18	0.325544	-257707.6428	-20.1488	0
174	18	0.572428	-163518.6806	-56.8192	0
175	18	0.582694	-168611.8316	-96.1596	0
176	18	0.485923	-198707.8046	-65.2549	0
177	18	0.678402	-119487.6885	-155.6690	0
178	18	0.612367	-142471.8998	-125.6303	0
179	18	0.275660	-307395.9716	-33.4484	0
180	18	0.306459	-257962.8522	-24.8415	0
181	18	0.530923	-207951.1523	-83.5503	0
182	18	0.739906	-81793.4755	-231.0252	0
183	18	0.521652	-117552.6879	-82.6835	0
184	18	0.402402	-272795.2698	-57.5266	0
185	18	0.922921	-18860.3438	-685.5340	0
186	18	0.313252	-299973.4976	-37.6026	0
187	18	1.440393	106206.6594	122.8276	0
188	18	0.857191	-36063.3876	-336.6237	0
189	18	0.703279	-111108.7782	-162.7718	0
190	18	0.812201	-73624.2998	-298.6909	0
191	18	0.374263	-281502.9329	-42.0177	0
192	18	0.426368	-201251.9024	-41.2726	0
193	18	0.967473	-9689.5782	-1926.4555	0
194	18	0.765151	-77212.4078	-306.1490	0
195	18	0.707114	-96760.4263	-122.0168	0
