ticker	entry_session	reason	sample	exit_status	pnl	exit_date
LKOH	2024-09-08	Б1	IS	WIN	42763.1043	2024-09-18
LKOH	2024-09-12	Б1	IS	WIN	27005.4638	2024-09-18
SNGS	2025-06-13	Б1	OOS	LOSS	-41659.0162	2025-06-15
MOEX	2025-06-23	Б1	OOS	WIN	24477.7657	2025-06-30
ALRS	2025-07-17	Б1	OOS	LOSS	-4465.5922	2025-07-23
MGNT	2025-07-18	Б1	OOS	WIN	10181.7398	2025-07-22
SBER	2025-10-15	Б1	OOS	LOSS	-25152.0157	2025-10-20
SNGS	2025-10-15	Б1	OOS	STOPPED	-56553.0175	2025-10-26
MOEX	2025-10-19	Б1	OOS	LOSS	-29233.5148	2025-10-20
SBER	2025-11-02	Б1	OOS	WIN	2921.7387	2025-11-11
MGNT	2025-11-18	Б1	OOS	WIN	61668.7185	2025-12-11
CHMF	2025-11-29	Б1	OOS	LOSS	-10109.5919	2025-12-01
ALRS	2026-01-18	Б1	OOS	LOSS	-9582.7780	2026-01-22
TATN	2026-05-17	Б2	OOS	LOSS	-15456.6710	2026-05-19
SBER	2026-07-23	Б1	OOS	OPEN		открыта на краю
